clean_story,sentiment_compound_polarity,sentiment_neutral,sentiment_negative,sentiment_positive,sentiment_type,happy,angry,surprise,sad,fear,year,Name
"Just dropped off a pax named Rose Super nice and friendly Interestingly for me she just dropped out of law school to pursue her dreams of being an Instagram star She told me that she is buying books and researching the topic aggressively I showed her some of my magic tricks at the end of the Uber ride and she encouraged me to build a social media account I just perused some of her Instagram pics Perhaps she has what it takes She told me that she hated law school and found it to be super dry boring and tedious I picked her up from a bar around Mount Prospect IL

I found it fascinating because as I wrote there seems to be a definite trend how many young people are seeking to build a career in the world of social media They are shunning traditional careers and trying hard to carve their own path Many guys are trying to sell merchandise online and produce music Many young ladies are trying to make it in the world of fashion and cooking She says she is actively advertising her Instagram account and trying to build up a large following A whole bunch of them are doing loads and loads of TikTok videos Here are a few of her pics I can certainly tell from the efforts she has been putting into her pictures and her many many posts that she is dead serious







",0.9509,0.066,0.802,0.131,Positive,0.07,0.04,0.21,0.29,0.39,2021,Young Kim
"At least here in Richmond Virginia demand seems to be increasing 

Ive even had pax going out on the town and even a few tourists unheard of since the beginning of the pandemic More importantly in the two weeks that Ive been back to pax a handful are actually tipping  

But heres the downside Ive had ridiculously long distances to pick up pax loads of scheduled trips and TONS of dead miles  tolls  miles for about  has been the norm 

Every day since I fired up X it has been the same  start the trip immediately bombarded with pings Most are crap I have to sign in again at least six times a day after getting the boot Why Because nobody is out driving 

I fired up the Uber pax app yesterday the only ants were hopelessly sitting at the airport 

I want to see more ants I want to make the same amount without driving way more miles than I did before 

Nine trips on Uber left for a  quest left for tomorrow then  for ten trips on Lyft Saturday The money is out there",-0.96,0.122,0.851,0.027,Negative,0.11,0.0,0.17,0.22,0.5,2021,Benjamin M
"So I decided to add another accessory to my car  




Even with pax looking at themselves in my camera Ive had  

The final was the nail in the coffin They immediately tipped me  but had I not turned around to do my sweep as I do with every pax with a bag I would have picked up my next pax with a swimming pool in the back seat 

So yes I see you",0.611,0.0,0.942,0.058,Positive,0.0,0.0,0.12,0.38,0.5,2021,Benjamin M
"Last night I took a pax on a short ride of a few miles Upon checking the back seat after he got out I noticed that there was a liquid stain in the seat about  by  inches There was no indication of what the liquid was 

I got my phone out took the pictures and then sent them in to Uber with the damage report I then got the gloves and paper towels out and blotted and dried the stain as much as possible A few hours later the stain had almost gone just leaving a faint outline ring At the end of the night I did the usual routine of Lysol and water cleaning of the seat have to clean the entire seat base to not leave water stains It took about  minutes to clean

Anyway I though that Uber would give me  bucks The next morning they emailed me to tell me that they had charged the pax  In contrast to Ubers lowball cleaning fees of late I recently got just  bucks for puke on the car  was too much for this stain 

What would you do",-0.7283,0.068,0.897,0.035,Negative,0.05,0.05,0.15,0.4,0.35,2021,The Gift of Fish
"Already depressed stressed out and getting fatigued running all over the place for awful pings ENDLESS after starting a trip I accepted a ping  minutes away back downtown from far south in a bad area At least it would get me back to the city The ping only said premium pickup possible with a  surge

Driving there I saw that it was a hospital pick up for a patient These have been prevalent lately especially at JenCare Senior Clinics I did not think much of it usually theyre fairly short but a tip is out of the question because theyre booked by a third party 

I pull up patient is wheeled to my car and belongings are put in the trunk Then I slide start 

 mile trip Already hungry and tired EZ Pass running low and no compensation for  miles to get home 

I turn to the door to hopefully grab the staff they vanished into thin air Called from the app went to the patient 

Apologized to him profusely and escorted him to a bench in front of the door I tried to explain that he would need to tell the hospital that he needed another car and to let the driver know in advance that it was an extremely long trip He did not seem to understand that but did understand why I had to cancel 

Medical staff and patients often seems to think that all we do is medical transport if we pick up at a hospital or clinic They do not understand that were Joe Regular Uber Driver 

And its very frustrating especially after years of doing actual medical transport  including trips such as this but being paid almost hr regardless of dead miles driving a vehicle that doesnt belong to me and not paying for fuel or tolls 

I really hope he got a ride somehow And flipping the bird to Uber for not indicating that this was a  minute trip",-0.8625,0.094,0.846,0.06,Negative,0.05,0.18,0.1,0.36,0.31,2021,Benjamin M
"I know i know i know No one in the history of man kind has ever uttered them words but through all the bulsht uber may dowhen i stop and think of the alternatives I stand behind this statementfor me and many others uber was a God sent gift that came just in timeI despised with a passion working regular  to  inside jobswhich is why i drove buses and cabs for many yearsbut even then i hated having to ask permission to take a day or week offplus I feel theres no real jobs that i qualify for that will pay me what my time is worth
Then enters uberthis week with bonuses im set to make nearly k last week just working the weekend i made kthats unheard of with any job i ever hadname me a job thatll pay  bucks plus a hour with no college degree besides maybe trucking",-0.1476,0.14,0.736,0.124,Negative,0.07,0.1,0.17,0.17,0.48,2021,Ummm5487
"When I switched from taxi driver to RS I got a lot of grief from some former cabbie friends But as the taxi industry in my city evaporated one of my major critics wisely decided to switch over too He turned in his leased cab bought a little Chevy fourdoor and signed up with Lyft but  Uber for some reason

He did Lyft for a couple of weeks  enjoyed the moneyin versus expensesout This past Monday I texted him and asked how his weekend went Great he said I made  on Saturday and Sunday I thought that was pretty good because Saturday was so rainy that I didnt even drive Then he added But I made all of that delivering food I dont even do Lyft anymore Too much driving

And there you have it Uber and Lyft could not have predicted the rise in fooddelivery services and the need for them during this pandemic which will continue Bottom Line Food delivery drivers make more money with less miles driven They stay local and dont go on any long trips like I did today  trips over to Alabama with a deadhead back because I cannot take Uber  Lyft trips trips in Alabama

I strongly suspect that more and more RS drivers are switching to food for the same reasons as my friend And so I am not surprised that Uber and Lyft have gotten superbusy here in my town where it used to be pretty slow Me Ill stick with passengers The numbers are okay by me and I dont want to deliver food",0.9799,0.056,0.806,0.137,Positive,0.19,0.05,0.14,0.27,0.35,2021,Aw Jeez
"These people who brag about every single one of them being the same level of perfection are mind boggling Why do you want every one of them the same in your group Being all the same is boring and not what your group should be about

Oh I know some of you will accept a few being different in your group and claim you are open to being diverse and inclusive Thats nonsense If you want to be inclusive then dont try to PREVENT all from being present in your little group Each and every one is to be EMBRACED and shouldnt be complained about when they appear Stop crying about oh that one isnt like the rest its so unfair

I am proud that I have achieved a level of diversity and inclusiveness that few can achieve Yes one of them is extremely difficult but dont give up keep trying

I am honored to have ALL types included in my grouping Im sure many on this forum cant say the same

",0.7818,0.078,0.811,0.11,Positive,0.05,0.0,0.42,0.32,0.21,2021,Seamus
"Well

I missed the big k trip I am  now

Rating up to  since I have been swerving Philly for the most part

The bonuses are good there but the damage to wheels struts and rating make it a losing proposition unless the bonuses crest  

I am happy being a suburban driver for the moment",0.7892,0.142,0.61,0.248,Positive,0.29,0.0,0.0,0.43,0.29,2021,BobDaScotty
"So during the first and second waves of the pandemic I tried my best on X

I went from somewhere around a  rating that began to fall before the shit really hit the fan low quality pax  AR and Diamond status to   AR  CR and stuck at  Im sure I have been rated however the numbers havent budged

I started X again when Eats had technical issues and customer tips fell sharply At the same time a driver buddy began doing X in the same market brand spanking new

While hes staying roughly in the same area from my understanding Im getting TONS of ridiculous pings  awful ratings long distance to pick up and nothing remotely near the city which has had consistant surges

 miles today rounding up to four hours online went offline for about  minutes hoping to get trips in the city untold how many unpaid tolls and I made 

The driver shortage is definitely a factor right now see PLEASE DRIVE but it also appears that the algorithm is leaning towards brand new drivers like my buddy well established on Eats brand new to X and giving me the bird

Its so frustrating to have ENDLESS pings all day every day but the vast majority of them are not profitable Combined with not having trip duration because theres no way I will hit  AR

Thousands of trips on Uber Im getting the scraps",0.5311,0.083,0.817,0.101,Positive,0.05,0.15,0.15,0.26,0.38,2021,Benjamin M
"I think something is wrong with my Uber app
It loads perfectly fine
There are no errors
It simply wont go online",-0.1779,0.259,0.539,0.202,Negative,0.25,0.0,0.25,0.25,0.25,2021,Juggalo9er
" Acceptance
 Cancellation",0.4588,0.0,0.25,0.75,Negative,0.0,0.0,0.0,0.0,0.0,2021,kdyrpr
"It is against Uber rules to allow Passengers to sit up front next to driver
I can see this being a big problem especially in a Prius
Has anyone dealt with this 
Do you cancel the ride and refuse to drive them 
How does this effect your payment and feedback and or acceptance ratings ",-0.1868,0.119,0.792,0.089,Negative,0.0,0.0,0.2,0.2,0.6,2021,Jimmy44
"Had an awesome March
Just over  gross cash included
",0.25,0.218,0.493,0.289,Negative,0.0,0.0,0.5,0.5,0.0,2021,Guido-TheKillerPimp
"Im still shuffling
",0.0,0.0,1.0,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,2021,Juggalo9er
"Ive been doing lots and lots of shuffling on Lyft mostly showing up in a car not account generally I just collect cancel fee and move on today was different
Showed up at small apartment complex pax texts and asks where Im atI being the fine upstanding driver that I am reply with Im right outside the pax scoured the parking lot looking for me and he found me just as I was collecting my cancel fee

Moral of the story is be patient the cancel fees will come",-0.4939,0.068,0.912,0.02,Negative,0.11,0.0,0.0,0.33,0.56,2021,Juggalo9er
"Had a pickup in downtown Chicago by the Hotel Intercontinental going to Scores Bar a strip club  minutes westbound The pax asked if he could play DMX through my bluetooth DMX is somewhat before the rappers I love like Wiz Khalifa Travis Scott The Weeknd and Cardi Bbut when we listened to it I was happily surprised by his gritty style very real lyrics The next ride from Scores brought me to the west side of Chicago and then the south side

So I listened to him all night and as I mentioned once you get to the west or south side of Chicago you dont often leave the area This is because many drivers will avoid the area or log off once they drop off there Therefore if you get to the area and leave on the app you will stay there all night Many pax who came in were so excited and happy that an Asian would enjoy hip hop rap RB and congratulated me on my musical tastes

I spoke to pax all night regarding DMX his turbulent life and his very depressing death One young lady pax I spoke to said that DMX reminded her of her family a great deal a very high functioning drug user She talked about how her father uses PCP casually and does a good job to help the community and other people She said that drug users should not be stereotyped as criminals The young lady emphasized that once you demonize drugs and make it illegal it glamorizes it and makes rebellious young people get into it more and more

Pax talked about how music unifies and brings the world together and DMX the rapper made incredible music One pax kept using the word GOAT as an acronym to describe DMX GGreatest OOf AAll TTime It was amazing to see the impact that the death of a legendary rapper had on a community like Chicago After my shift I watched some of DMXs acting jobs with Jet Li like in CradleGrave and Romeo Must Die He was a very talented person

",0.9729,0.074,0.783,0.143,Positive,0.2,0.13,0.22,0.2,0.26,2021,Young Kim
"Like many I started Ubering and was as naive as could be Uber just became legal in NY outside NYC in July of  and because it was brand new both pax and drivers were trying to figure it all out

Shortly after starting to Uber I started lurking in the UP forum for awhile before joining It was somewhat of a different forum back then more like a band of pirates giving tips on how to make more money and strategizing to beat Uber Back then Ubers AI was no where near as good as it is today and a driver had a much easier time manipulating the system to maximize revenue Now forget it Ubers AI is too good to beat except in rare circumstances

I started reading in UP about longhauling Shirlington Shuffling deliberately not intending to give a ride and creating surges Yes believe it or not you used to be able to create surges I thought I would never do any of that in a million years After dealing with Uber and pax BS boy did that change In the interest of space Ill just choose one although Ive done them all



I thought it was terrible that a driver would deliberately boost up a fare then I met Karen I took Karen on a x surge to JFK Airport in NYC from the northern suburbs At a x surge with higher rates that was a very decent fare Karen immediately became one of the most annoying pax I ever gave a ride to She was a visitor to NY from Chicago and immediately started pounding and pounding what a terrible place NY was Next she found out that I was born in Scotland and spent the next  minutes telling me how bad Scotland was and that it was one of the worse places on the face of the earth She was crass obnoxious and extremely rude The final straw was her telling me how blatantly stupid most Uber drivers were That was it OK Karen we are going to JFK by way of Long Island roflmao If you look at my route it looked like a very pregnant line FU Karen

Do you remember your first deliberate shuffle longhaul throwing a pax out etc etc Something you thought youd never do",-0.7564,0.108,0.795,0.097,Negative,0.06,0.04,0.24,0.31,0.35,2021,Seamus
Anyone having issues with the Uber eats app not letting you accept deliveries or log off,-0.2924,0.127,0.873,0.0,Negative,0.0,0.0,0.0,0.5,0.5,2021,momowns11
"Not only recently did I realize that it was stupid of me to be faithful with Uber when I first started doing side gigs Honestly I have never seen numbers like these back in the days when I was transporting human cargoes around Do you set a weekly target For me it is  to pay for car insurance and phone bills Sometimes the numbers are so unreal that if I am able to make say  by working a little harder that would worth a month of car payment Is this why there are so many brand new cars and even nicer luxury cars with Uber stickers







While these numbers may appear as a childs play to some here on the forum personally I do feel satisfied with the extra  every week The best part is that I drive a car that even carmax wouldnt take it such that depreciation is removed from the equation It is such an amazing experience to be paid without having strangers in my car",0.9516,0.039,0.826,0.135,Positive,0.04,0.04,0.22,0.13,0.57,2021,MyJessicaLS430
"After driving for uber lyft postmate and door dash nearly everyday for the last  years last week at about k trip i was completely burnt outit had got to the point my driving foot was always inflamed and being in the sitting position so much was giving me painful stomach problemsI realized i am a true workaholicday  of my vacation i literally felt like I was going through withdrawalI realized I had been letting life pass me by and running from things i didnt wont to deal withafter day  i was able to finish a few things that had been left undone and then i drove out of town and hung with my aging parents for a few days and had great get together with my siblings
Today i got my ubermobile service and ready to hit the road with new brakes coolant fan rotors and spark plugscome tomorrow ill be chasing uber  ride bonus challenge and be back in the rat racebut my stomachfoot and ride all feel brand newi guess sometimes a vacation is all we need",0.9326,0.044,0.826,0.13,Positive,0.15,0.11,0.15,0.3,0.3,2021,Ummm5487
"



BEWARE ",0.0,0.0,1.0,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,2021,tohunt4me
"This pax made me feel very sorry for what he is going through This ride was in the suburbs to Bartett IL from the north side of Chicago My pax said his life was going very well and he had a good job No problems Then his girlfriend made him very upset and treated him like trash He started taking care of her totally and completely emotionally and financially He was so devastated that he decided the best way to get back at her was to send her pictures of him shooting up heroin He thought that doing so would make her feel terrible and he would get even and in a way revenge

Unfortunately it resulted with him getting addicted to heroin and getting arrested for drug possession He is undergoing treatment now We had one stop on the ride and I am very much of the impression that he was picking up drugs likely heroin The pax is not sure how much guilt he caused his girlfriend now exgirlfriend because they stopped talking Im thinking those videos was not a wise move on his part I often disable my dashcam because pax will not talk if they know they are on camera Therefore I just record the audio on my phone and make sure to keep my pax anonymous

Here is the audiovideo He cried a lot after the video clip cut off He could not believe that his girlfriend would take him for granted after he treated her like a princess

",-0.9816,0.182,0.744,0.074,Negative,0.03,0.06,0.21,0.24,0.45,2021,Young Kim
"Drove to pickup Sharon Waited four minutes Sharon opens her front door and comes out And keeps coming outgood lord shes enormous Gotta be a  pounder No problem no judging Sharon walks slowly to my car Sharon stops at the door and rummages in her equally enormous purse pulls out a spray cylinder of something For a moment I honestly thought she was going to spray my car before getting in but she proceeds to spray HERSELF ALL AROUND TOP TO BOTTOM FRONT AND BACK She even LIFTED HER LEG and got a little down there No way this is not happening Holy crap theres a FOG surrounding her now as she opens the door I am instantly hit with a thick cloying odor that smells something like bo fast food weed and cheap perfume Trying not to gag I brace as my car settles lower on the right side

Hi Sharon Im Walter

Its ShAYron

Oh Ok 

Off we go ShAYron doesnt say another word Thank the lord for short trips Three minutes later she rolls out and my car creaks back up to normal Waiting to pull out into traffic I watch horrified as she pulls out the body spray and hoses herself down again before knocking at the door of a townhouse 

All around top to bottom front and back Lift the leg

Bye bye ShAYron",0.7528,0.069,0.839,0.092,Positive,0.0,0.12,0.42,0.08,0.38,2021,Cvillegordo
I dropped off a woman in her upper s who is blind and raising two teenage daughters On of those daughters has down syndrome,-0.4019,0.119,0.881,0.0,Negative,0.0,0.0,0.0,0.0,1.0,2021,Rideshare Dude
Youve got  minutes,0.0,0.0,1.0,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,2021,Justkeepswimming
"The rideshare companies are definitely making good on their promise to recruit more ants I hadnt seen a Come Drive For Us advertisement in a long time but today I have seen several One was for Uber It featured a late slooking woman who claimed to have MS She couldnt work a normal job because of her medical condition but Uber was kind enough to let her earn money on her own schedule

Yeah That sounds safe Lets recruit people who have impaired motor skills to drive around gangbangers and other fellow cripples",0.9443,0.0,0.826,0.174,Positive,0.13,0.0,0.07,0.33,0.47,2021,rkozy
"Picked up a young lady pax south of downtown Chicago around  am and heard her talking to a guy in a hushed voice on the phone So you got what I need because I got the money She talked price on the phone and then hung up We then started talking and she said she was going deeper into the south side of Chicago to complete a deal She clutched her large purse and counted cash I thought for sure it was something else but I found out that she had human hair wigs in her purse

She said this when I asked her how she is managing the pandemic with all the uncertainty in employment for everyone This is one of my standard pax questions She said like many young pax that she was selfemployed and bought and sold hair weaves and wigs She explained that all her products come straight from Asia She said It comes from your countries China Korea and India 

She said that the best hair and prices come from the East She buys them from a secret source and then resells them This is why she feels the need to hide them from law enforcement Human hair wigs are not by themselves illegal but she felt that if law enforcement somehow discovered the source she could get into trouble sort of like having cartons of cigarettes which escaped duty US Customs tax

When I asked her if I could see one she looked behind us and around first said Well I dont see any police so here is one She showed me a few and some were weaves and some were wigs which one was dyed blond and brown They looked very nice and high quality to me The pax described her business which was booming

She said that there are smugglers of vast amounts of human hair which are often obtained illegally She said that in some Asian countries ladies have their long hair cropped off against their will sometimes in cases of religious sacrifice like when a holy leader will tell the lady that to show her love and devotion to a god then she must demonstrate a sacrificelike her long hair Which the religious leader will then sell 

I didnt really know this illegal but I guess the young lady knew that she cannot be in possession of large quantities of it This puzzled me because I know many wigs are made with real human hair and I had no idea this would be illegal She really acted like she had bags of illicit substances in her purse which was my first guess I am guessing that while a person can have maybe one of two wigs for personal use if someone has many many such hair pieces then it may not be permitted if it was determined that such products were smuggled into the US 

I suppose I found this pax ride interesting because she told me that up to  of young ladies on the south and west sides of Chicago have wigs and hair extensions I thought that young ladies just straighten their hair and then carefully take hours to weave them or braid them by hand But my pax explained that almost always you are looking at a wig not their natural hair 

Then she surprised me by pulling up her own beautiful weave to reveal a nearly bald shaved head She said her ethnicitys hair frizzes so easily especially in moisture so it is far easier to have very very short hair and then just put on a wig  weave The pax explained that she makes a very good living buying creating styling human hair from the Asian countries and there is a massive never ending market at least here in Chicago",0.997,0.033,0.836,0.13,Positive,0.06,0.02,0.46,0.12,0.33,2021,Young Kim
"Driving through this pandemic this past year Ive had multiple customers complain that they could not get a Lyft ride Since  year ago as month after month passed pax would often tell me that they tried to get a Lyft first because it was cheaper but the wait times got longer and longer

Some of them were hardcore Lyft loyalists but they have been telling me that around the new year it got really bad with wait times being over  minutes at least in Chicago But recently they said they could not even get one at all It would say Lyfts are unavailable in your area Or something like that

A couple of customers last night told me that they are worried because they think that once Uber finishes off Lyft theyre going to jack up the fares even more because then Uber will be a complete total monopoly and they can set the prices wherever they want Many Uber ants have both apps up 

Have you seen any dramatic changes in your experience as a driver if you have the Lyft app up",-0.5251,0.051,0.91,0.039,Negative,0.0,0.0,0.32,0.41,0.27,2021,Young Kim
"As if I needed a reason to make this a personal practice another rd party ride disaster happened last night 

Just before pickup text from pax you will be picking up Anton a friend of mine He is going to the hospital his sister just died

Ok

Anton I assumed was a disheveled black male of indeterminate age as I pulled up to the house he was attempting to park a bicycle on its kickstand Ok I waited until he finally gave up and leaned the bike against the house 

UBER

Yeah Hop in

Anton approaches with no mask and a bag of chips 

You need a mask and no eating in the car 

No problem

Puts on mask rolls chips up into a ball and gets in Off we go 

We need to stop at a church Im from Charlottesville Ill show you where to go

Realizing that he didnt order the ride asking him to put in a stop is pointless so I ask which church Its on the way no biggie Then he starts giving me directions loudly leaning forward towards the front mask drooping below his chin I realize he is very intoxicated The directions turn into excited shouts TURN HERE NO THERE LISTEN TO ME

We stop at the church I turn and say you will not shout at me and you will wear your mask if you want a ride He gets out leaves the door open and goes to the church door where there are several packages All the while shouting obscenities at someone on his phone This all happened in the space of a minute or less I look in the back seat chips and crumbs everywhere Fuck this I jump out close the door toss his chips on the street End trip drive away I hear him bellowing curses for two blocks One star call support to document 

Im fine with third party rides Uber needs to step up and strongly warn customers that they are responsible for anyone they place in an Uber Or simply not allow it at all",-0.8304,0.108,0.808,0.084,Negative,0.09,0.05,0.24,0.31,0.31,2021,Cvillegordo
"Youd think theyd behave after that Pakistani Uber Eats driver was just murdered by another uneducated loser like her
",-0.743,0.297,0.608,0.095,Negative,0.0,0.0,0.33,0.33,0.33,2021,Sal29
"Coming back from a trip just heard that theres a man in his underwear with a machete looking for an Uber 
Are any of our members around that area to give him a ride

I believe its a dollar surge",0.0,0.0,1.0,0.0,Neutral,0.0,0.0,0.33,0.33,0.33,2021,wallae
Despite the bad things people on this site like to call me one thing they cant call me is lazyIve rip and ran doing uber non stop for the last  years even during a pandemic i rarely even take a day offwell ive decided now is timeits like the thought of doing even one more trip anytime soon is unbearableive saved enough money to retireso maybe i willtime to live a life that dont involve sitting in a car hrs a daymaybe ill take a week or a month or maybe forever off,0.6566,0.056,0.83,0.113,Positive,0.11,0.11,0.33,0.11,0.33,2021,Ummm5487
"Standard every week day morning routine Hit go to log on and answer the questions and take a selfie After done set destination to work  miles away hoping to score a ride along the way and then hit the go online button

Got up this morning and as I was almost ready to walk out the door for my day job I turned on Uber and hit the GO button to get the mask verification to pop up No mask check instantly went online and immediately got a ping unfortunately it was a vey long trip in the wrong direction I decline it and go offline so I can set a destination like I do every morning Set my destination and get kicked out to do the mask check verification

Guess Uber was desperate to get this ride filed and tried to force it on me Pretty sure someone missed their flight this morning",0.0074,0.087,0.831,0.081,Negative,0.15,0.19,0.11,0.19,0.37,2021,FLKeys
I learned the hard way not to eat tacos while driving  How about you What particular munchies got their revenge on you while navigating traffic,-0.5859,0.179,0.821,0.0,Negative,0.0,0.33,0.0,0.0,0.67,2021,Guido-TheKillerPimp
"I drove up to a strip club in Stone Park IL called The Gold Room all purple lights outside and picked up two guys and drove them into downtown Chicago this past Saturday night around  am They came in mildly drunk but were incredibly happy I remarked to them that I was surprised the strip clubs were open again because I had heard they had closed due to covid The guy behind me told me No man they reopened I was so excited that I slapped each of the girls in the as tonight thanking each of them for getting back to work

On the way to downtown one of the guys became very chatty and started talking a LOT about aliens and how he feels that they either created this world as a D simulation and we are all living in a video gameor they are behind the scenes controlling it completely by assuming key behind the scenes roles He went so far as to suggest that there are large underground military bases where the world leaders are collaborating with some alien races who wish to study humans 

I could tell that he had studied a lot into this area and he mentioned a lot of details about stories he read about famous UFOalien sightings Once in a while his friend would chime in and say that aliens must exist as there are endless worlds and universes out there He then discussed how we are all sort of living in a human ant farm like environment where everything is controlled and all variables altered to see how humans would react

When he asked me my opinion on all this I replied I can agree that there very well could be aliens but until they show up and affect my life directly I am not interested I told them that it is cool to ponder but since I cannot prove or disprove their existence right now it is not practical for me to think about it After he asked me if I had seen any I told him no He said he did see some before looking at the night sky with a telescope and he saw some when he experimented with DMT a powerful psychedelic drug 

The ride ended though in sort of a funny way About  minutes from our destination the more quiet guy sitting on my passenger side rear suddenly ask me to drive faster because he had to go to the bathroom ASAP I told him that I cannot risk getting a ticket but if it is an emergency I can pull over He said fine and then he would be OK Then with about  seconds left he screamed at me Pull over pull over now right NOW 

So I stopped quickly and he got out and then his friend who was talking about all the alien stuff went out and both relieved themselves for a long while by a building wall After they both got back in and the guy on the right said Dude that was such a relief thanks a bunch I am gonna tip you  on the app ok Anyways the ride ended and I was left entertained by those two",0.9951,0.034,0.838,0.128,Positive,0.09,0.05,0.14,0.26,0.46,2021,Young Kim
Surges were multipliers and there were  genders,0.0,0.0,1.0,0.0,Neutral,0.0,0.0,0.0,1.0,0.0,2021,Juggalo9er
Surges were multipliers and there were  genders,0.0,0.0,1.0,0.0,Neutral,0.0,0.0,0.0,1.0,0.0,2021,Juggalo9er
"I arrive at pu location Pax is holding a very small baby I roll down the window door locked I ask if they have a car seat for baby
You guessed it No car seat WTF

I tell them I Cannot legally transport a baby while being held in your arms
Pax gets mad Idiots Too bad Cancel and collect my few s",-0.9504,0.286,0.714,0.0,Negative,0.0,0.25,0.12,0.5,0.12,2021,ubermikeo
"Long before driver even arrived Crazy world huh Im supposed to tip a driver I cancelled on lol

",-0.1531,0.218,0.644,0.139,Negative,0.0,0.0,0.2,0.2,0.6,2021,ozzyoz7
"We have a part of town called Belmont an old Charlottesville neighborhood which has a cluster of nice restaurants in a very small half block area If youre in the area and you like good Italian check out Tavola Last night I had a pickup at Tavola JaNAYzha with a  rating  promotion and  surge short ride why not Rhetorical question These restaurants are literally side by side if you stop at one youre there Stopped at the PIN texted the rider waited  minutes and received a text youre at the wrong address WTF I look in my rear view and there she is  behind me on the sidewalk staring at me Whatever So I back up   JaNAYzha gets in off we go Beep The rider has modified the trip My  minute ride has magically changed to TWO minutes Well I still have the promotion and the surge Beep She just added a stop Fk

Long story short She was going to her house to pick up something for work I told her  minutes when she got out she said Ill be one minute She was  I was about to cancel I have not done it already because I know lots of the other people that work in those restaurants and at least she works She hurries out jumps in reeking of weed No apologies no tip Good riddance So I have given lots of people with similar names and bad ratings rides and had good experiences even got tipped But I have given lots more the same and had BAD experiences and no tip I am at the point where I am just going to make a blanket policy that I dont do rides under such circumstances Period Just maintaining diamond until the st and then all bets are off",-0.9624,0.124,0.817,0.059,Negative,0.1,0.07,0.12,0.44,0.27,2021,Cvillegordo
"There once was a driver named Guido

He drove cause he had no libido

He drives for Lyft and if you get his drift he will tell you being gay is quite neato",-0.296,0.066,0.934,0.0,Negative,0.2,0.0,0.0,0.4,0.4,2021,UrgentDilation
"My first pax of this Sunday night was a guy I drove from Glenview IL to downtown Chicago He previously worked in the advertising business but was laid off due to covid Now he just started trying to make a living rehabbing houses and flipping them On the long ride  minutes we talked about a lot of things but mostly he complained about Uber and Lyft these days He said that he and his friends were die hard rideshare loyalists but recently he started souring on both companies

For example he said that tonight Easter Sunday he could not get a Lyft or an Uber for over an hour until I accepted the ride I drove  minutes to pick him up Before I accepted the ride he said that both Uber and Lyft told him some message like No drivers in your area try again soon or Are you sure you wish to request limited available carssomething like that He was so grateful that I finally picked him up because he was just about to give up He told me If you hadnt come then I would have had to stay overnight with my exwife so thank from the bottom of my heart for that 

He mentioned the ridiculous surge Lately he said the prices for both Uber and Lyft were equal or sometimes a lot more than what a taxi used to be And there were no more quick pickup times  minutes or less that he was used to for rideshare Now just like the taxi industry before he would often wait up to an hour as he was in the suburbs for an Uber or Lyft to showor none availablejust like the taxis

Therefore he voiced active hope that the taxi industry would get themselves back together to shape and make a valiant comeback We discussed how the Chicago medallions were a high of  back in  Now there is no bid no buyers So he hoped that now that the prices are so incredibly low there could be a chance for the left for dead taxicab companies to make a comebackand wished eagerly for them to make an effort

This got me thinking

I was actually far happier for a multitude of reasons driving a taxi part time I drove for Flash Cab and other companies than driving rideshare for two very evil companies I felt I had very more control over my destiny driving a cab Plus I paid zero attention to whether my car would depreciate not have to worry that I could be deactivated for a nonsense complaint etc etc etc etc etc

What if",0.9472,0.1,0.767,0.133,Positive,0.07,0.07,0.16,0.33,0.38,2021,Young Kim
"So after wondering for years why when im in the Air port que Im always sent  mins or more away from the air port even when it tons of people waiting at the air portseem uber have decided some people deserve less lucrative trips and others deserve more lucrative tripssad part is im not surprised at allbut I got them to finally admit it after lying to me a few timesits just real tiresome at this pointgo ahead tell me again its just my imagination 

",-0.505,0.058,0.921,0.021,Negative,0.0,0.07,0.21,0.43,0.29,2021,Ummm5487
"Time for some comic relief This thread is to post all the different kinds of pax we come across 

The some pax  You show up and theres  pax and they want to jam  in the back seat Usually followed by Oh I thought we ordered an XL Yeah I bet you did 

The gotta take one last puff pax  That guy whos smoking when you pull up He takes one last puff tosses the cigarette then gets in the car 

The interrogator  Its pretty normal to be asked how long youve been doing Uber or if its been busy today But then theres the one who asks a hundred other questions Do you like doing Uber How do you like this car So you drive Uber and Lyft How does that work Do you have another job If so tell me all about it Are you from the area Married Kids Whats your craziest story Ever had someone throw up in the car On and on and on

The halitosis  Self explanatory Breath so bad that even if you try to breathe through your mouth you can still taste it You look at the nav every  seconds counting down the minutes Once they get out you open all the windows and turn the fan on full blast 

Add your own pax contribution laugh",0.9187,0.024,0.888,0.088,Positive,0.13,0.03,0.17,0.17,0.5,2021,losiglow
Dont we have Uber pets now,0.0,0.0,1.0,0.0,Neutral,0.0,1.0,0.0,0.0,0.0,2021,Vegas drivers
"Clearly not only do Uber Lyft DoorDash Amazon etc not value your life but neither do the courts

Is anyone really surprised by this


Sadly few drivers will do anything about this either

Will there be a national week of action to get all drivers to stop driving

No

I doubt you could get the majority of drivers to stop driving for an hour let alone a day or week

For those who werent already aware 

If you arent already start legally carrying to protect yourself

Better to lose your job than your life",-0.8747,0.212,0.671,0.117,Negative,0.15,0.0,0.15,0.3,0.4,2021,KenLV
